"","expenditure_category","subcategory","agency","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"147","Libraries","Brooklyn Public Library","Brooklyn Public Library",2024,127462000,309.5705,127462000,FALSE
"148","Libraries","Queens Borough Public Library","Queens Borough Public Library",2024,131489000,309.5705,131489000,FALSE
"149","Pensions","Pension Contributions","Pension Contributions",2024,9215445000,309.5705,9215445000,FALSE
"150","Judgments and Claims","Judgments and Claims","Judgments and Claims",2024,1516775000,309.5705,1516775000,FALSE
"151","Benefit Payments","Benefit Payments","Benefit Payments",2024,7779718000,309.5705,7779718000,FALSE
"152","Lease Payments","Lease Payments","Lease Payments",2024,96135000,309.5705,96135000,FALSE
"153","Other","Miscellaneous","Miscellaneous",2024,1211790000,309.5705,1211790000,FALSE
"154","Transfers","General Debt Service Fund","Debt Service",2024,3377653000,309.5705,3377653000,FALSE
"155","Transfers","Nonmajor Debt Service Funds","Debt Service-Hudson Yards Infrastructure Corporation",2024,NA,309.5705,NA,FALSE
"156","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Building Aid Revenue Bonds",2024,1036585000,309.5705,1036585000,FALSE
"157","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Future Tax Secured",2024,3287765000,309.5705,3287765000,FALSE
"158","Transfers","Nonmajor Debt Service Funds","",2024,NA,309.5705,NA,FALSE
"159","Transfers","Nonmajor Debt Service Funds","",2024,NA,309.5705,NA,FALSE
"160","General Government","Mayoralty","Mayoralty",2023,163387000,299.6855,168776251.381865,FALSE
"161","General Government","Board of Elections","Board of Elections",2023,258009000,299.6855,266519318.200247,FALSE
"162","General Government","Campaign Finance Board","Campaign Finance Board",2023,59944000,299.6855,61921227.593594,FALSE
"163","General Government","Office of the Actuary","Office of the Actuary",2023,6692000,299.6855,6912732.80155363,FALSE
"164","General Government","Borough President-Manhattan","Borough President-Manhattan",2023,5572000,299.6855,5755790.07326014,FALSE
"165","General Government","Borough President-Bronx","Borough President-Bronx",2023,6304000,299.6855,6511934.78496624,FALSE
"166","General Government","Borough President-Brooklyn","Borough President-Brooklyn",2023,7751000,299.6855,8006663.47053828,FALSE
"167","General Government","Borough President-Queens","Borough President-Queens",2023,6712000,299.6855,6933392.4931303,FALSE
"168","General Government","Borough President-Staten Island","Borough President-Staten Island",2023,5382000,299.6855,5559523.00328177,FALSE
"169","General Government","Office of the Comptroller","Office of the Comptroller",2023,92450000,299.6855,95499424.313155,FALSE
"170","General Government","Office of Administrative Tax Appeals","Office of Administrative Tax Appeals",2023,5949000,299.6855,6145225.25948036,FALSE
"171","General Government","Law Department","Law Department",2023,235485000,299.6855,243252373.546601,FALSE
"172","General Government","Department of City Planning","Department of City Planning",2023,39706000,299.6855,41015685.687162,FALSE
"173","General Government","Department of Investigation","Department of Investigation",2023,40386000,299.6855,41718115.2007688,FALSE
"174","General Government","Department of Veterans Service","Department of Veterans Service",2023,5531000,299.6855,5713437.70552796,FALSE
"175","General Government","Public Advocate","Public Advocate",2023,5083000,299.6855,5250660.61421056,FALSE
"176","General Government","City Council","City Council",2023,84760000,299.6855,87555772.9019255,FALSE
"177","General Government","City Clerk","City Clerk",2023,5940000,299.6855,6135928.39827085,FALSE
"178","General Government","Financial Information Services Agency","Financial Information Services Agency",2023,118537000,299.6855,122446893.021184,FALSE
"179","General Government","Office of Payroll Administration","Office of Payroll Administration",2023,16055000,299.6855,16584567.4131715,FALSE
"180","General Government","Independent Budget Office","Independent Budget Office",2023,5203000,299.6855,5374618.76367058,FALSE
"181","General Government","Equal Employment Practices Commission","Equal Employment Practices Commission",2023,1267000,299.6855,1308791.46138202,FALSE
"182","General Government","Civil Service Commission","Civil Service Commission",2023,987000,299.6855,1019555.77930864,FALSE
"183","General Government","Landmarks Preservation Commission","Landmarks Preservation Commission",2023,7204000,299.6855,7441620.90591637,FALSE
"184","General Government","Districting Commission","Districting Commission",2023,1026000,299.6855,1059842.17788315,FALSE
"185","General Government","Commission on Human Rights","Commission on Human Rights",2023,10996000,299.6855,11358698.4288529,TRUE
"186","General Government","Office of Racial Equity","Office of Racial Equity",2023,NA,299.6855,NA,TRUE
"187","General Government","Commission of Racial Equity","Commission of Racial Equity",2023,NA,299.6855,NA,TRUE
"188","General Government","Department of Youth and Community Development","Department of Youth and Community Development",2023,964930000,299.6855,996757809.653787,TRUE
"189","General Government","Conflicts of Interest Board","Conflicts of Interest Board",2023,2608000,299.6855,2694023.78159771,FALSE
"190","General Government","Office of Collective Bargaining","Office of Collective Bargaining",2023,2385000,299.6855,2463668.22051784,FALSE
"191","General Government","Manhattan Community Board #1","Manhattan Community Board #1",2023,242000,299.6855,249982.268077701,FALSE
"192","General Government","Manhattan Community Board #2","Manhattan Community Board #2",2023,313000,299.6855,323324.173174878,FALSE
"193","General Government","Manhattan Community Board #3","Manhattan Community Board #3",2023,413000,299.6855,426622.631058226,FALSE
"194","General Government","Manhattan Community Board #4","Manhattan Community Board #4",2023,366000,299.6855,378072.355853053,FALSE
"195","General Government","Manhattan Community Board #5","Manhattan Community Board #5",2023,326000,299.6855,336752.972699714,FALSE
"196","General Government","Manhattan Community Board #6","Manhattan Community Board #6",2023,391000,299.6855,403896.97032389,FALSE
"197","General Government","Manhattan Community Board #7","Manhattan Community Board #7",2023,349000,299.6855,360511.618012884,FALSE
"198","General Government","Manhattan Community Board #8","Manhattan Community Board #8",2023,396000,299.6855,409061.893218057,FALSE
"199","General Government","Manhattan Community Board #9","Manhattan Community Board #9",2023,351000,299.6855,362577.58717055,FALSE
"200","General Government","Manhattan Community Board #10","Manhattan Community Board #10",2023,325000,299.6855,335719.98812088,FALSE
"201","General Government","Manhattan Community Board #11","Manhattan Community Board #11",2023,366000,299.6855,378072.355853053,FALSE
"202","General Government","Manhattan Community Board #12","Manhattan Community Board #12",2023,427000,299.6855,441084.415161895,FALSE
"203","General Government","Bronx Community Board #1","Bronx Community Board #1",2023,229000,299.6855,236553.468552866,FALSE
"204","General Government","Bronx Community Board #2","Bronx Community Board #2",2023,305000,299.6855,315060.29654421,FALSE
"205","General Government","Bronx Community Board #3","Bronx Community Board #3",2023,161000,299.6855,166310.51719219,FALSE
"206","General Government","Bronx Community Board #4","Bronx Community Board #4",2023,223000,299.6855,230355.561079865,FALSE
"207","General Government","Bronx Community Board #5","Bronx Community Board #5",2023,197000,299.6855,203497.962030195,FALSE
"208","General Government","Bronx Community Board #6","Bronx Community Board #6",2023,258000,299.6855,266510.021339037,FALSE
"209","General Government","Bronx Community Board #7","Bronx Community Board #7",2023,248000,299.6855,256180.175550702,FALSE
"210","General Government","Bronx Community Board #8","Bronx Community Board #8",2023,264000,299.6855,272707.928812038,FALSE
"211","General Government","Bronx Community Board #9","Bronx Community Board #9",2023,339000,299.6855,350181.772224549,FALSE
"212","General Government","Bronx Community Board #10","Bronx Community Board #10",2023,330000,299.6855,340884.911015047,FALSE
"213","General Government","Bronx Community Board #11","Bronx Community Board #11",2023,325000,299.6855,335719.98812088,FALSE
"214","General Government","Bronx Community Board #12","Bronx Community Board #12",2023,280000,299.6855,289235.682073374,FALSE
"215","General Government","Queens Community Board #1","Queens Community Board #1",2023,302000,299.6855,311961.34280771,FALSE
"216","General Government","Queens Community Board #2","Queens Community Board #2",2023,339000,299.6855,350181.772224549,FALSE
"217","General Government","Queens Community Board #3","Queens Community Board #3",2023,345000,299.6855,356379.67969755,FALSE
"218","General Government","Queens Community Board #4","Queens Community Board #4",2023,317000,299.6855,327456.111490212,FALSE
"219","General Government","Queens Community Board #5","Queens Community Board #5",2023,312000,299.6855,322291.188596045,FALSE
"220","General Government","Queens Community Board #6","Queens Community Board #6",2023,338000,299.6855,349148.787645715,FALSE
"221","General Government","Queens Community Board #7","Queens Community Board #7",2023,339000,299.6855,350181.772224549,FALSE
"222","General Government","Queens Community Board #8","Queens Community Board #8",2023,347000,299.6855,358445.648855217,FALSE
"223","General Government","Queens Community Board #9","Queens Community Board #9",2023,228000,299.6855,235520.483974033,FALSE
"224","General Government","Queens Community Board #10","Queens Community Board #10",2023,233000,299.6855,240685.4068682,FALSE
"225","General Government","Queens Community Board #11","Queens Community Board #11",2023,349000,299.6855,360511.618012884,FALSE
"226","General Government","Queens Community Board #12","Queens Community Board #12",2023,303000,299.6855,312994.327386544,FALSE
"227","General Government","Queens Community Board #13","Queens Community Board #13",2023,232000,299.6855,239652.422289367,FALSE
"228","General Government","Queens Community Board #14","Queens Community Board #14",2023,289000,299.6855,298532.543282875,FALSE
"229","General Government","Brooklyn Community Board #1","Brooklyn Community Board #1",2023,338000,299.6855,349148.787645715,FALSE
"230","General Government","Brooklyn Community Board #2","Brooklyn Community Board #2",2023,179000,299.6855,184904.239611192,FALSE
"231","General Government","Brooklyn Community Board #3","Brooklyn Community Board #3",2023,267000,299.6855,275806.882548538,FALSE
"232","General Government","Brooklyn Community Board #4","Brooklyn Community Board #4",2023,276000,299.6855,285103.74375804,FALSE
"233","General Government","Brooklyn Community Board #5","Brooklyn Community Board #5",2023,206000,299.6855,212794.823239696,FALSE
"234","General Government","Brooklyn Community Board #6","Brooklyn Community Board #6",2023,212000,299.6855,218992.730712697,FALSE
"235","General Government","Brooklyn Community Board #7","Brooklyn Community Board #7",2023,275000,299.6855,284070.759179206,FALSE
"236","General Government","Brooklyn Community Board #8","Brooklyn Community Board #8",2023,324000,299.6855,334687.003542047,FALSE
"237","General Government","Brooklyn Community Board #9","Brooklyn Community Board #9",2023,355000,299.6855,366709.525485884,FALSE
"238","General Government","Brooklyn Community Board #10","Brooklyn Community Board #10",2023,360000,299.6855,371874.448380052,FALSE
"239","General Government","Brooklyn Community Board #11","Brooklyn Community Board #11",2023,295000,299.6855,304730.450755876,FALSE
"240","General Government","Brooklyn Community Board #12","Brooklyn Community Board #12",2023,336000,299.6855,347082.818488048,FALSE
"241","General Government","Brooklyn Community Board #13","Brooklyn Community Board #13",2023,286000,299.6855,295433.589546374,FALSE
"242","General Government","Brooklyn Community Board #14","Brooklyn Community Board #14",2023,348000,299.6855,359478.63343405,FALSE
"243","General Government","Brooklyn Community Board #15","Brooklyn Community Board #15",2023,160000,299.6855,165277.532613356,FALSE
