"","expenditure_category","subcategory","category","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"428","Public Safety and Judicial","Miscellaneous-Criminal Justice Programs","Miscellaneous-Criminal Justice Programs",2021,386495,263.1505,454673.822185403,FALSE
"429","Public Safety and Judicial","Miscellaneous-Other","Miscellaneous-Other",2021,56050,263.1505,65937.3801303817,FALSE
"430","Education","Department of Education","Department of Education",2021,28288081,263.1505,33278179.3051923,FALSE
"431","City University","City University of New York-Community Colleges","City University of New York-Community Colleges",2021,1036305,263.1505,1219112.16264077,FALSE
"432","City University","Hunter Campus Schools","Hunter Campus Schools",2021,23408,263.1505,27537.2380747899,FALSE
"433","City University","Educational Aid","Educational Aid",2021,NA,263.1505,NA,FALSE
"434","Social Services","Administration for Children's Services","Administration for Children's Services",2021,2429644,263.1505,2858240.14289922,TRUE
"435","Social Services","Department of Social Services","Department of Social Services",2021,10009419,263.1505,11775109.1077121,TRUE
"436","Social Services","Department of Homeless Services","Department of Homeless Services",2021,2731326,263.1505,3213139.70958064,TRUE
"437","Social Services","Department for the Aging","Department for the Aging",2021,304143,263.1505,357794.694112305,TRUE
"438","Environmental Protection","Department of Environmental Protection","Department of Environmental Protection",2021,1340898,263.1505,1577436.23803869,FALSE
"439","Environmental Protection","Department of Sanitation","Department of Sanitation",2021,2355621,263.1505,2771159.27422141,FALSE
"440","Transportation Services","Department of Transportation","Department of Transportation",2021,903441,263.1505,1062810.57345891,FALSE
"441","Transportation Services","Miscellaneous-Payments to Transit Authority","Miscellaneous-Payments to Transit Authority",2021,1068042,263.1505,1256447.66011085,FALSE
"442","Transportation Services","Miscellaneous-Payments to Private Bus Companies","Miscellaneous-Payments to Private Bus Companies",2021,13,263.1505,15.2932371399636,FALSE
"443","Parks, Recreation, and Cultural Activities","Department of Cultural Affairs","Department of Cultural Affairs",2021,179941,263.1505,211683.106477092,FALSE
"444","Parks, Recreation, and Cultural Activities","Department of Parks and Recreation","Department of Parks and Recreation",2021,438564,263.1505,515927.942542385,FALSE
"445","Housing","Housing Preservation and Development","Housing Preservation and Development",2021,1100468,263.1505,1294593.69914935,TRUE
"446","Housing","Department of Buildings","Department of Buildings",2021,196242,263.1505,230859.649447749,FALSE
"447","Housing","Miscellaneous-Payments to Housing Authority","Miscellaneous-Payments to Housing Authority",2021,1264,263.1505,1486.97321114723,TRUE
"448","Health","Department of Health and Mental Hygiene","Department of Health and Mental Hygiene",2021,2152380,263.1505,2532065.98117807,TRUE
"449","Health","New York City Health and Hospitals Corporation","New York City Health and Hospitals Corporation",2021,2401543,263.1505,2825182.0462169,FALSE
"450","Libraries","New York Research Libraries","New York Research Libraries",2021,30691,263.1505,36104.9800817403,FALSE
"451","Libraries","New York Public Library","New York Public Library",2021,154592,263.1505,181862.47045702,FALSE
"452","Libraries","Brooklyn Public Library","Brooklyn Public Library",2021,116669,263.1505,137249.744914032,FALSE
"453","Libraries","Queens Borough Public Library","Queens Borough Public Library",2021,121518,263.1505,142954.122367239,FALSE
"454","Pensions","Pension Contributions","Pension Contributions",2021,9333663,263.1505,10980147.8187311,FALSE
"455","Judgments and Claims","Judgments and Claims","Judgments and Claims",2021,617866,263.1505,726859.327593905,FALSE
"456","Benefit Payments","Benefit Payments","Benefit Payments",2021,6846447,263.1505,8054179.81055328,FALSE
"457","Lease Payments","Lease Payments","Lease Payments",2021,97051,263.1505,114171.07366697,FALSE
"458","Other","Miscellaneous","Miscellaneous",2021,1847131,263.1505,2172970.18550601,FALSE
"459","Transfers","General Debt Service Fund","Debt Service",2021,5137881,263.1505,6044217.88691642,FALSE
"460","Transfers","Nonmajor Debt Service Funds","Debt Service-Hudson Yards Infrastructure Corporation",2021,NA,263.1505,NA,FALSE
"461","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Building Aid Revenue Bonds",2021,800785,263.1505,942045.761778906,FALSE
"462","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Future Tax Secured",2021,2958217,263.1505,3480054.93019014,FALSE
"463","General Government","Mayoralty","Mayoralty",2020,147448,257.23,177450.627096373,FALSE
"464","General Government","Board of Elections","Board of Elections",2020,222053,257.23,267236.205975197,FALSE
"465","General Government","Campaign Finance Board","Campaign Finance Board",2020,20050,257.23,24129.7614974925,FALSE
"466","General Government","Office of the Actuary","Office of the Actuary",2020,6884,257.23,8284.7520273685,FALSE
"467","General Government","Borough President-Manhattan","Borough President-Manhattan",2020,4847,257.23,5833.26453757338,FALSE
"468","General Government","Borough President-Bronx","Borough President-Bronx",2020,5154,257.23,6202.73270613847,FALSE
"469","General Government","Borough President-Brooklyn","Borough President-Brooklyn",2020,6633,257.23,7982.67870388368,FALSE
"470","General Government","Borough President-Queens","Borough President-Queens",2020,5687,257.23,6844.18721377755,FALSE
"471","General Government","Borough President-Staten Island","Borough President-Staten Island",2020,4465,257.23,5373.53541577576,FALSE
"472","General Government","Office of the Comptroller","Office of the Comptroller",2020,88779,257.23,106843.695560393,FALSE
"473","General Government","Office of Administrative Tax Appeals","Office of Administrative Tax Appeals",2020,5456,257.23,6566.18347782141,FALSE
"474","General Government","Law Department","Law Department",2020,263806,257.23,317485.080379427,FALSE
"475","General Government","Department of City Planning","Department of City Planning",2020,42820,257.23,51532.9868988843,FALSE
"476","General Government","Department of Investigation","Department of Investigation",2020,47103,257.23,56687.4890681491,FALSE
"477","General Government","Department of Veterans Service","Department of Veterans Service",2020,4975,257.23,5987.30989775687,FALSE
"478","General Government","Public Advocate","Public Advocate",2020,4341,257.23,5224.30397309801,FALSE
"479","General Government","City Council","City Council",2020,80141,257.23,96448.0407067605,FALSE
"480","General Government","City Clerk","City Clerk",2020,5507,257.23,6627.56092601952,FALSE
"481","General Government","Financial Information Services Agency","Financial Information Services Agency",2020,108160,257.23,130168.329355052,FALSE
"482","General Government","Office of Payroll Administration","Office of Payroll Administration",2020,15364,257.23,18490.2571395249,FALSE
"483","General Government","Independent Budget Office","Independent Budget Office",2020,4556,257.23,5483.05203903122,FALSE
"484","General Government","Equal Employment Practices Commission","Equal Employment Practices Commission",2020,1132,257.23,1362.33865412277,FALSE
"485","General Government","Civil Service Commission","Civil Service Commission",2020,958,257.23,1152.93324262333,FALSE
"486","General Government","Landmarks Preservation Commission","Landmarks Preservation Commission",2020,6443,257.23,7754.01762236131,FALSE
"487","General Government","Districting Commission","Districting Commission",2020,NA,257.23,NA,FALSE
"488","General Government","Commission on Human Rights","Commission on Human Rights",2020,12152,257.23,14624.6813824204,TRUE
"489","General Government","Department of Youth and Community Development","Department of Youth and Community Development",2020,783649,257.23,943105.409862769,TRUE
"490","General Government","Conflicts of Interest Board","Conflicts of Interest Board",2020,2531,257.23,3046.00630175329,FALSE
"491","General Government","Office of Collective Bargaining","Office of Collective Bargaining",2020,2248,257.23,2705.4216382226,FALSE
"492","General Government","Manhattan Community Board #1","Manhattan Community Board #1",2020,304,257.23,365.857730435797,FALSE
"493","General Government","Manhattan Community Board #2","Manhattan Community Board #2",2020,338,257.23,406.776029234537,FALSE
"494","General Government","Manhattan Community Board #3","Manhattan Community Board #3",2020,418,257.23,503.054379349221,FALSE
"495","General Government","Manhattan Community Board #4","Manhattan Community Board #4",2020,386,257.23,464.543039303347,FALSE
"496","General Government","Manhattan Community Board #5","Manhattan Community Board #5",2020,332,257.23,399.555152975936,FALSE
"497","General Government","Manhattan Community Board #6","Manhattan Community Board #6",2020,455,257.23,547.583116277262,FALSE
"498","General Government","Manhattan Community Board #7","Manhattan Community Board #7",2020,335,257.23,403.165591105237,FALSE
"499","General Government","Manhattan Community Board #8","Manhattan Community Board #8",2020,386,257.23,464.543039303347,FALSE
"500","General Government","Manhattan Community Board #9","Manhattan Community Board #9",2020,309,257.23,371.875127317964,FALSE
"501","General Government","Manhattan Community Board #10","Manhattan Community Board #10",2020,355,257.23,427.235178633907,FALSE
"502","General Government","Manhattan Community Board #11","Manhattan Community Board #11",2020,300,257.23,361.043812930063,FALSE
"503","General Government","Manhattan Community Board #12","Manhattan Community Board #12",2020,407,257.23,489.816106208452,FALSE
"504","General Government","Bronx Community Board #1","Bronx Community Board #1",2020,356,257.23,428.438658010341,FALSE
"505","General Government","Bronx Community Board #2","Bronx Community Board #2",2020,270,257.23,324.939431637056,FALSE
"506","General Government","Bronx Community Board #3","Bronx Community Board #3",2020,337,257.23,405.572549858104,FALSE
"507","General Government","Bronx Community Board #4","Bronx Community Board #4",2020,283,257.23,340.584663530692,FALSE
"508","General Government","Bronx Community Board #5","Bronx Community Board #5",2020,192,257.23,231.06804027524,FALSE
"509","General Government","Bronx Community Board #6","Bronx Community Board #6",2020,253,257.23,304.480282237686,FALSE
"510","General Government","Bronx Community Board #7","Bronx Community Board #7",2020,334,257.23,401.962111728803,FALSE
"511","General Government","Bronx Community Board #8","Bronx Community Board #8",2020,287,257.23,345.398581036427,FALSE
"512","General Government","Bronx Community Board #9","Bronx Community Board #9",2020,386,257.23,464.543039303347,FALSE
"513","General Government","Bronx Community Board #10","Bronx Community Board #10",2020,312,257.23,375.485565447265,FALSE
"514","General Government","Bronx Community Board #11","Bronx Community Board #11",2020,339,257.23,407.979508610971,FALSE
"515","General Government","Bronx Community Board #12","Bronx Community Board #12",2020,296,257.23,356.229895424328,FALSE
"516","General Government","Queens Community Board #1","Queens Community Board #1",2020,266,257.23,320.125514131322,FALSE
"517","General Government","Queens Community Board #2","Queens Community Board #2",2020,354,257.23,426.031699257474,FALSE
"518","General Government","Queens Community Board #3","Queens Community Board #3",2020,332,257.23,399.555152975936,FALSE
"519","General Government","Queens Community Board #4","Queens Community Board #4",2020,332,257.23,399.555152975936,FALSE
"520","General Government","Queens Community Board #5","Queens Community Board #5",2020,313,257.23,376.689044823699,FALSE
"521","General Government","Queens Community Board #6","Queens Community Board #6",2020,324,257.23,389.927317964468,FALSE
"522","General Government","Queens Community Board #7","Queens Community Board #7",2020,351,257.23,422.421261128173,FALSE
"523","General Government","Queens Community Board #8","Queens Community Board #8",2020,343,257.23,412.793426116705,FALSE
"524","General Government","Queens Community Board #9","Queens Community Board #9",2020,229,257.23,275.596777203281,FALSE
"525","General Government","Queens Community Board #10","Queens Community Board #10",2020,306,257.23,368.264689188664,FALSE
"526","General Government","Queens Community Board #11","Queens Community Board #11",2020,332,257.23,399.555152975936,FALSE
"527","General Government","Queens Community Board #12","Queens Community Board #12",2020,331,257.23,398.351673599502,FALSE
"528","General Government","Queens Community Board #13","Queens Community Board #13",2020,331,257.23,398.351673599502,FALSE
"529","General Government","Queens Community Board #14","Queens Community Board #14",2020,301,257.23,362.247292306496,FALSE
"530","General Government","Brooklyn Community Board #1","Brooklyn Community Board #1",2020,351,257.23,422.421261128173,FALSE
"531","General Government","Brooklyn Community Board #2","Brooklyn Community Board #2",2020,292,257.23,351.415977918594,FALSE
"532","General Government","Brooklyn Community Board #3","Brooklyn Community Board #3",2020,298,257.23,358.636854177196,FALSE
"533","General Government","Brooklyn Community Board #4","Brooklyn Community Board #4",2020,311,257.23,374.282086070832,FALSE
"534","General Government","Brooklyn Community Board #5","Brooklyn Community Board #5",2020,256,257.23,308.090720366987,FALSE
"535","General Government","Brooklyn Community Board #6","Brooklyn Community Board #6",2020,256,257.23,308.090720366987,FALSE
"536","General Government","Brooklyn Community Board #7","Brooklyn Community Board #7",2020,285,257.23,342.991622283559,FALSE
"537","General Government","Brooklyn Community Board #8","Brooklyn Community Board #8",2020,297,257.23,357.433374800762,FALSE
"538","General Government","Brooklyn Community Board #9","Brooklyn Community Board #9",2020,267,257.23,321.328993507756,FALSE
"539","General Government","Brooklyn Community Board #10","Brooklyn Community Board #10",2020,362,257.23,435.659534268942,FALSE
"540","General Government","Brooklyn Community Board #11","Brooklyn Community Board #11",2020,271,257.23,326.14291101349,FALSE
"541","General Government","Brooklyn Community Board #12","Brooklyn Community Board #12",2020,374,257.23,450.101286786145,FALSE
"542","General Government","Brooklyn Community Board #13","Brooklyn Community Board #13",2020,310,257.23,373.078606694398,FALSE
"543","General Government","Brooklyn Community Board #14","Brooklyn Community Board #14",2020,366,257.23,440.473451774676,FALSE
"544","General Government","Brooklyn Community Board #15","Brooklyn Community Board #15",2020,187,257.23,225.050643393072,FALSE
"545","General Government","Brooklyn Community Board #16","Brooklyn Community Board #16",2020,242,257.23,291.242009096917,FALSE
"546","General Government","Brooklyn Community Board #17","Brooklyn Community Board #17",2020,331,257.23,398.351673599502,FALSE
"547","General Government","Brooklyn Community Board #18","Brooklyn Community Board #18",2020,256,257.23,308.090720366987,FALSE
"548","General Government","Staten Island Community Board #1","Staten Island Community Board #1",2020,306,257.23,368.264689188664,FALSE
"549","General Government","Staten Island Community Board #2","Staten Island Community Board #2",2020,197,257.23,237.085437157408,FALSE
"550","General Government","Staten Island Community Board #3","Staten Island Community Board #3",2020,329,257.23,395.944714846635,FALSE
"551","General Government","Department of Small Business Services","Department of Small Business Services",2020,330634,257.23,397911.200147728,TRUE
"552","General Government","Office of Administrative Trials and Hearings","Office of Administrative Trials and Hearings",2020,44679,257.23,53770.2550596742,FALSE
"553","General Government","Business Integrity Commission","Business Integrity Commission",2020,8809,257.23,10601.4498270031,FALSE
"554","General Government","Department of Finance","Department of Finance",2020,304173,257.23,366065.93236792,FALSE
"555","General Government","Department of Design and Construction","Department of Design and Construction",2020,213767,257.23,257264.175862069,FALSE
"556","General Government","Department of Citywide Administrative Services","Department of Citywide Administrative Services",2020,1090319,257.23,1312176.43023364,FALSE
"557","General Government","Department of Information Technology and Telecommunications","Department of Information Technology and Telecommunications",2020,578226,257.23,695883.065917661,FALSE
"558","General Government","Department of Records and Information Services","Department of Records and Information Services",2020,9487,257.23,11417.408844225,FALSE
"559","General Government","Department of Consumer & Worker Protection","Department of Consumer & Worker Protection",2020,39579,257.23,47632.5102398632,FALSE
"560","General Government","Miscellaneous--Technology Development Corporation","Miscellaneous--Technology Development Corporation",2020,NA,257.23,NA,FALSE
"561","Public Safety and Judicial","Department of Emergency Management","Department of Emergency Management",2020,256762,257.23,309007.771651829,FALSE
"562","Public Safety and Judicial","Civilian Complaint Review Board","Civilian Complaint Review Board",2020,19628,257.23,23621.8932006376,FALSE
"563","Public Safety and Judicial","Police Department","Police Department",2020,5785046,257.23,6962183.55271936,FALSE
"564","Public Safety and Judicial","Fire Department","Fire Department",2020,2169812,257.23,2611323.99273802,FALSE
"565","Public Safety and Judicial","Department of Correction","Department of Correction",2020,1278907,257.23,1539138.19887649,FALSE
"566","Public Safety and Judicial","Board of Correction","Board of Correction",2020,2557,257.23,3077.29676554057,FALSE
"567","Public Safety and Judicial","Department of Juvenile Justice","Department of Juvenile Justice",2020,NA,257.23,NA,FALSE
"568","Public Safety and Judicial","NYC Taxi and Limousine Commission","NYC Taxi and Limousine Commission",2020,52913,257.23,63679.704245228,FALSE
"569","Public Safety and Judicial","Department of Probation","Department of Probation",2020,100093,257.23,120459.861225363,FALSE
"570","Public Safety and Judicial","District Attorney New York County","District Attorney New York County",2020,139888,257.23,168352.323010535,FALSE
"571","Public Safety and Judicial","District Attorney Bronx County","District Attorney Bronx County",2020,85222,257.23,102562.919418419,FALSE
"572","Public Safety and Judicial","District Attorney Kings County","District Attorney Kings County",2020,117091,257.23,140916.60366598,FALSE
"573","Public Safety and Judicial","District Attorney Queens County","District Attorney Queens County",2020,72812,257.23,87627.7403568791,FALSE
"574","Public Safety and Judicial","District Attorney Richmond County","District Attorney Richmond County",2020,18198,257.23,21900.9176923376,FALSE
"575","Public Safety and Judicial","Office of Prosecutor -- Special Narcotics","Office of Prosecutor -- Special Narcotics",2020,23524,257.23,28310.6488512226,FALSE
"576","Public Safety and Judicial","Public Administrator - New York County","Public Administrator-New York County",2020,1199,257.23,1442.97177234382,FALSE
"577","Public Safety and Judicial","Public Administrator- Bronx County","Public Administrator-Bronx County",2020,686,257.23,825.58685223341,FALSE
"578","Public Safety and Judicial","Public Administrator-Kings County","Public Administrator-Kings County",2020,849,257.23,1021.75399059208,FALSE
"579","Public Safety and Judicial","Public Administrator-Queens County","Public Administrator-Queens County",2020,591,257.23,711.256311472223,FALSE
"580","Public Safety and Judicial","Public Administrator-Richmond County","Public Administrator-Richmond County",2020,570,257.23,685.983244567119,FALSE
"581","Public Safety and Judicial","Miscellaneous-Contributions Legal Aid","Miscellaneous-Contributions Legal Aid",2020,381821,257.23,459513.698989231,FALSE
"582","Public Safety and Judicial","Miscellaneous-Criminal Justice Programs","Miscellaneous-Criminal Justice Programs",2020,217841,257.23,262167.150841659,FALSE
"583","Public Safety and Judicial","Miscellaneous-Other","Miscellaneous-Other",2020,64895,257.23,78099.7941336547,FALSE
"584","Education","Department of Education","Department of Education",2020,27903295,257.23,33581040.0670412,FALSE
"585","City University","City University of New York-Community Colleges","City University of New York-Community Colleges",2020,1094249,257.23,1316906.10418303,FALSE
"586","City University","Hunter Campus Schools","Hunter Campus Schools",2020,22274,257.23,26806.2996306807,FALSE
"587","City University","Educational Aid","Educational Aid",2020,NA,257.23,NA,FALSE
"588","Social Services","Administration for Children's Services","Administration for Children's Services",2020,2448716,257.23,2946979.20474284,TRUE
"589","Social Services","Department of Social Services","Department of Social Services",2020,10408734,257.23,12526696.7037826,TRUE
"590","Social Services","Department of Homeless Services","Department of Homeless Services",2020,2352590,257.23,2831293.54620379,TRUE
"591","Social Services","Department for the Aging","Department for the Aging",2020,421015,257.23,506682.869669168,TRUE
"592","Environmental Protection","Department of Environmental Protection","Department of Environmental Protection",2020,1298507,257.23,1562726.39465459,FALSE
"593","Environmental Protection","Department of Sanitation","Department of Sanitation",2020,2081062,257.23,2504515.19807954,FALSE
"594","Transportation Services","Department of Transportation","Department of Transportation",2020,853911,257.23,1027664.27780974,FALSE
"595","Transportation Services","Miscellaneous-Payments to Transit Authority","Miscellaneous-Payments to Transit Authority",2020,1077950,257.23,1297290.59382654,FALSE
"596","Transportation Services","Miscellaneous-Payments to Private Bus Companies","Miscellaneous-Payments to Private Bus Companies",2020,8,257.23,9.62783501146834,FALSE
"597","Parks, Recreation, and Cultural Activities","Department of Cultural Affairs","Department of Cultural Affairs",2020,203754,257.23,245213.73686584,FALSE
"598","Parks, Recreation, and Cultural Activities","Department of Parks and Recreation","Department of Parks and Recreation",2020,453994,257.23,546372.416024569,FALSE
"599","Housing","Housing Preservation and Development","Housing Preservation and Development",2020,1102463,257.23,1326791.48378105,TRUE
"600","Housing","Department of Buildings","Department of Buildings",2020,187494,257.23,225645.162205031,FALSE
"601","Housing","Miscellaneous-Payments to Housing Authority","Miscellaneous-Payments to Housing Authority",2020,1318,257.23,1586.18581813941,TRUE
"602","Health","Department of Health and Mental Hygiene","Department of Health and Mental Hygiene",2020,1814493,257.23,2183704.90418303,TRUE
"603","Health","New York City Health and Hospitals Corporation","New York City Health and Hospitals Corporation",2020,705441,257.23,848983.694790654,FALSE
"604","Libraries","New York Research Libraries","New York Research Libraries",2020,31021,257.23,37333.1337363449,FALSE
"605","Libraries","New York Public Library","New York Public Library",2020,156095,257.23,187857.113264394,FALSE
"606","Libraries","Brooklyn Public Library","Brooklyn Public Library",2020,117466,257.23,141367.908432142,FALSE
"607","Libraries","Queens Borough Public Library","Queens Borough Public Library",2020,122602,257.23,147548.978509505,FALSE
"608","Pensions","Pension Contributions","Pension Contributions",2020,9671638,257.23,11639616.869331,FALSE
"609","Judgments and Claims","Judgments and Claims","Judgments and Claims",2020,708970,257.23,853230.773510088,FALSE
"610","Benefit Payments","Benefit Payments","Benefit Payments",2020,5476722,257.23,6591121.97745986,FALSE
"611","Lease Payments","Lease Payments","Lease Payments",2020,100582,257.23,121048.362640439,FALSE
"612","Other","Miscellaneous","Miscellaneous",2020,1700597,257.23,2046633.41712475,FALSE
"613","Transfers","General Debt Service Fund","Debt Service",2020,3391468,257.23,4081561.79383431,FALSE
"614","Transfers","Nonmajor Debt Service Funds","Debt Service-Hudson Yards Infrastructure Corporation",2020,NA,257.23,NA,FALSE
"615","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Building Aid Revenue Bonds",2020,796520,257.23,958595.392916845,FALSE
"616","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Future Tax Secured",2020,3061523,257.23,3684479.79097695,FALSE
"617","General Government","Mayoralty","Mayoralty",2019,128461,253.2685,157018.343106229,FALSE
"618","General Government","Board of Elections","Board of Elections",2019,172006,253.2685,210243.553485728,FALSE
"619","General Government","Campaign Finance Board","Campaign Finance Board",2019,25395,253.2685,31040.3999905239,FALSE
"620","General Government","Office of the Actuary","Office of the Actuary",2019,6562,253.2685,8020.75624090639,FALSE
"621","General Government","Borough President-Manhattan","Borough President-Manhattan",2019,5031,253.2685,6149.40942517526,FALSE
"622","General Government","Borough President-Bronx","Borough President-Bronx",2019,4987,253.2685,6095.62806665653,FALSE
"623","General Government","Borough President-Brooklyn","Borough President-Brooklyn",2019,6424,253.2685,7852.07834373402,FALSE
"624","General Government","Borough President-Queens","Borough President-Queens",2019,5467,253.2685,6682.33379595173,FALSE
"625","General Government","Borough President-Staten Island","Borough President-Staten Island",2019,4342,253.2685,5307.24224291612,FALSE
"626","General Government","Office of the Comptroller","Office of the Comptroller",2019,90657,253.2685,110810.377709822,FALSE
"627","General Government","Office of Administrative Tax Appeals","Office of Administrative Tax Appeals",2019,4972,253.2685,6077.29351261606,FALSE
"628","General Government","Law Department","Law Department",2019,240735,253.2685,294251.257795581,FALSE
"629","General Government","Department of City Planning","Department of City Planning",2019,40058,253.2685,48963.0377168894,FALSE
"630","General Government","Department of Investigation","Department of Investigation",2019,43339,253.2685,52973.4158373426,FALSE
"631","General Government","Department of Veterans Service","Department of Veterans Service",2019,4098,253.2685,5009.00016385773,FALSE
"632","General Government","Public Advocate","Public Advocate",2019,3022,253.2685,3693.80148735433,FALSE
"633","General Government","City Council","City Council",2019,78367,253.2685,95788.2664326594,FALSE
"634","General Government","City Clerk","City Clerk",2019,5577,253.2685,6816.78719224854,FALSE
"635","General Government","Financial Information Services Agency","Financial Information Services Agency",2019,104004,253.2685,127124.463895036,FALSE
"636","General Government","Office of Payroll Administration","Office of Payroll Administration",2019,16098,253.2685,19676.6433962376,FALSE
"637","General Government","Independent Budget Office","Independent Budget Office",2019,4353,253.2685,5320.6875825458,FALSE
"638","General Government","Equal Employment Practices Commission","Equal Employment Practices Commission",2019,1145,253.2685,1399.53762508958,FALSE
"639","General Government","Civil Service Commission","Civil Service Commission",2019,1024,253.2685,1251.63888916308,FALSE
"640","General Government","Landmarks Preservation Commission","Landmarks Preservation Commission",2019,6221,253.2685,7603.95071238626,FALSE
"641","General Government","Districting Commission","Districting Commission",2019,NA,253.2685,NA,FALSE
"642","General Government","Commission on Human Rights","Commission on Human Rights",2019,13254,253.2685,16200.4119501636,TRUE
"643","General Government","Department of Youth and Community Development","Department of Youth and Community Development",2019,697619,253.2685,852702.217010801,TRUE
"644","General Government","Conflicts of Interest Board","Conflicts of Interest Board",2019,2679,253.2685,3274.55135162881,FALSE
"645","General Government","Office of Collective Bargaining","Office of Collective Bargaining",2019,2298,253.2685,2808.85367900074,FALSE
"646","General Government","Manhattan Community Board #1","Manhattan Community Board #1",2019,288,253.2685,352.023437577117,FALSE
"647","General Government","Manhattan Community Board #2","Manhattan Community Board #2",2019,333,253.2685,407.027099698541,FALSE
"648","General Government","Manhattan Community Board #3","Manhattan Community Board #3",2019,420,253.2685,513.367513133295,FALSE
"649","General Government","Manhattan Community Board #4","Manhattan Community Board #4",2019,422,253.2685,515.812120338692,FALSE
"650","General Government","Manhattan Community Board #5","Manhattan Community Board #5",2019,387,253.2685,473.031494244251,FALSE
"651","General Government","Manhattan Community Board #6","Manhattan Community Board #6",2019,407,253.2685,497.477566298217,FALSE
"652","General Government","Manhattan Community Board #7","Manhattan Community Board #7",2019,377,253.2685,460.808458217268,FALSE
"653","General Government","Manhattan Community Board #8","Manhattan Community Board #8",2019,445,253.2685,543.925103200753,FALSE
"654","General Government","Manhattan Community Board #9","Manhattan Community Board #9",2019,323,253.2685,394.804063671558,FALSE
"655","General Government","Manhattan Community Board #10","Manhattan Community Board #10",2019,282,253.2685,344.689615960927,FALSE
"656","General Government","Manhattan Community Board #11","Manhattan Community Board #11",2019,302,253.2685,369.135688014893,FALSE
"657","General Government","Manhattan Community Board #12","Manhattan Community Board #12",2019,394,253.2685,481.587619463139,FALSE
"658","General Government","Bronx Community Board #1","Bronx Community Board #1",2019,346,253.2685,422.917046533619,FALSE
"659","General Government","Bronx Community Board #2","Bronx Community Board #2",2019,304,253.2685,371.58029522029,FALSE
"660","General Government","Bronx Community Board #3","Bronx Community Board #3",2019,329,253.2685,402.137885287748,FALSE
"661","General Government","Bronx Community Board #4","Bronx Community Board #4",2019,284,253.2685,347.134223166324,FALSE
"662","General Government","Bronx Community Board #5","Bronx Community Board #5",2019,202,253.2685,246.905327745061,FALSE
"663","General Government","Bronx Community Board #6","Bronx Community Board #6",2019,260,253.2685,317.798936701564,FALSE
"664","General Government","Bronx Community Board #7","Bronx Community Board #7",2019,332,253.2685,405.804796095843,FALSE
"665","General Government","Bronx Community Board #8","Bronx Community Board #8",2019,277,253.2685,338.578097947435,FALSE
"666","General Government","Bronx Community Board #9","Bronx Community Board #9",2019,318,253.2685,388.692545658066,FALSE
"667","General Government","Bronx Community Board #10","Bronx Community Board #10",2019,332,253.2685,405.804796095843,FALSE
"668","General Government","Bronx Community Board #11","Bronx Community Board #11",2019,319,253.2685,389.914849260765,FALSE
"669","General Government","Bronx Community Board #12","Bronx Community Board #12",2019,292,253.2685,356.91265198791,FALSE
"670","General Government","Queens Community Board #1","Queens Community Board #1",2019,314,253.2685,383.803331247273,FALSE
"671","General Government","Queens Community Board #2","Queens Community Board #2",2019,357,253.2685,436.362386163301,FALSE
"672","General Government","Queens Community Board #3","Queens Community Board #3",2019,334,253.2685,408.24940330124,FALSE
"673","General Government","Queens Community Board #4","Queens Community Board #4",2019,318,253.2685,388.692545658066,FALSE
"674","General Government","Queens Community Board #5","Queens Community Board #5",2019,304,253.2685,371.58029522029,FALSE
"675","General Government","Queens Community Board #6","Queens Community Board #6",2019,315,253.2685,385.025634849972,FALSE
"676","General Government","Queens Community Board #7","Queens Community Board #7",2019,341,253.2685,416.805528520128,FALSE
"677","General Government","Queens Community Board #8","Queens Community Board #8",2019,370,253.2685,452.252332998379,FALSE
"678","General Government","Queens Community Board #9","Queens Community Board #9",2019,221,253.2685,270.129096196329,FALSE
"679","General Government","Queens Community Board #10","Queens Community Board #10",2019,327,253.2685,399.693278082351,FALSE
"680","General Government","Queens Community Board #11","Queens Community Board #11",2019,354,253.2685,432.695475355206,FALSE
"681","General Government","Queens Community Board #12","Queens Community Board #12",2019,318,253.2685,388.692545658066,FALSE
"682","General Government","Queens Community Board #13","Queens Community Board #13",2019,332,253.2685,405.804796095843,FALSE
"683","General Government","Queens Community Board #14","Queens Community Board #14",2019,289,253.2685,353.245741179815,FALSE
"684","General Government","Brooklyn Community Board #1","Brooklyn Community Board #1",2019,355,253.2685,433.917778957904,FALSE
"685","General Government","Brooklyn Community Board #2","Brooklyn Community Board #2",2019,331,253.2685,404.582492493145,FALSE
"686","General Government","Brooklyn Community Board #3","Brooklyn Community Board #3",2019,333,253.2685,407.027099698541,FALSE
"687","General Government","Brooklyn Community Board #4","Brooklyn Community Board #4",2019,299,253.2685,365.468777206798,FALSE
"688","General Government","Brooklyn Community Board #5","Brooklyn Community Board #5",2019,242,253.2685,295.797471852994,FALSE
"689","General Government","Brooklyn Community Board #6","Brooklyn Community Board #6",2019,289,253.2685,353.245741179815,FALSE
"690","General Government","Brooklyn Community Board #7","Brooklyn Community Board #7",2019,288,253.2685,352.023437577117,FALSE
"691","General Government","Brooklyn Community Board #8","Brooklyn Community Board #8",2019,337,253.2685,411.916314109335,FALSE
