"","expenditure_category","subcategory","agency","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"96","General Government","Department of Records and Information Services","Department of Records and Information Services",2023,14233000,299.6855,14702493.2570979,FALSE
"97","General Government","Department of Consumer & Worker Protection","Department of Consumer & Worker Protection",2023,64951000,299.6855,67093489.7450828,FALSE
"98","General Government","Miscellaneous--Technology Development Corporation","Miscellaneous--Technology Development Corporation",2023,NA,299.6855,NA,FALSE
"99","Public Safety and Judicial","Department of Emergency Management","Department of Emergency Management",2023,176327000,299.6855,182143366.01871,FALSE
"100","Public Safety and Judicial","Civilian Complaint Review Board","Civilian Complaint Review Board",2023,23685000,299.6855,24466279.2660973,FALSE
"101","Public Safety and Judicial","Police Department","Police Department",2023,6053506000,299.6855,6253188445.64051,FALSE
"102","Public Safety and Judicial","Fire Department","Fire Department",2023,2522972000,299.6855,2606195378.19481,FALSE
"103","Public Safety and Judicial","Department of Correction","Department of Correction",2023,1300969000,299.6855,1343883085.09754,FALSE
"104","Public Safety and Judicial","Board of Correction","Board of Correction",2023,3016000,299.6855,3115486.52170359,FALSE
"105","Public Safety and Judicial","Department of Juvenile Justice","Department of Juvenile Justice",2023,NA,299.6855,NA,FALSE
"106","Public Safety and Judicial","NYC Taxi and Limousine Commission","NYC Taxi and Limousine Commission",2023,160467000,299.6855,165760204.137337,FALSE
"107","Public Safety and Judicial","Department of Probation","Department of Probation",2023,104295000,299.6855,107735300.656855,FALSE
"108","Public Safety and Judicial","District Attorney New York County","District Attorney New York County",2023,156944000,299.6855,162120993.588278,FALSE
"109","Public Safety and Judicial","District Attorney Bronx County","District Attorney Bronx County",2023,106152000,299.6855,109653556.117997,FALSE
"110","Public Safety and Judicial","District Attorney Kings County","District Attorney Kings County",2023,135451000,299.6855,139919020.176151,FALSE
"111","Public Safety and Judicial","District Attorney Queens County","District Attorney Queens County",2023,89132000,299.6855,92072130.1898157,FALSE
"112","Public Safety and Judicial","District Attorney Richmond County","District Attorney Richmond County",2023,23144000,299.6855,23907433.7063355,FALSE
"113","Public Safety and Judicial","Office of Prosecutor -- Special Narcotics","Office of Prosecutor -- Special Narcotics",2023,26434000,299.6855,27305958.4597853,FALSE
"114","Public Safety and Judicial","Public Administrator - New York County","Public Administrator-New York County",2023,1184000,299.6855,1223055.71674305,FALSE
"115","Public Safety and Judicial","Public Administrator- Bronx County","Public Administrator-Bronx County",2023,628000,299.6855,648715.363272497,FALSE
"116","Public Safety and Judicial","Public Administrator-Kings County","Public Administrator-Kings County",2023,1005000,299.6855,1038151.17848545,FALSE
"117","Public Safety and Judicial","Public Administrator-Queens County","Public Administrator-Queens County",2023,589000,299.6855,608428.899629779,FALSE
"118","Public Safety and Judicial","Public Administrator-Richmond County","Public Administrator-Richmond County",2023,6e+05,299.6855,619791.74834952,FALSE
"119","Public Safety and Judicial","Miscellaneous-Contributions Legal Aid","Miscellaneous-Contributions Legal Aid",2023,533830000,299.6855,551439048.36904,FALSE
"120","Public Safety and Judicial","Miscellaneous-Criminal Justice Programs","Miscellaneous-Criminal Justice Programs",2023,556605000,299.6855,574965310.150141,FALSE
"121","Public Safety and Judicial","Miscellaneous-Other","Miscellaneous-Other",2023,92829000,299.6855,95891080.345896,FALSE
"122","Education","Department of Education","Department of Education",2023,30975740000,299.6855,31997513418.3669,FALSE
"123","City University","City University of New York-Community Colleges","City University of New York-Community Colleges",2023,1102301000,299.6855,1138661773.32904,FALSE
"124","City University","Hunter Campus Schools","Hunter Campus Schools",2023,23602000,299.6855,24380541.4075756,FALSE
"125","City University","Educational Aid","Educational Aid",2023,NA,299.6855,NA,FALSE
"126","Social Services","Administration for Children's Services","Administration for Children's Services",2023,2975963000,299.6855,3074128851.32247,TRUE
"127","Social Services","Department of Social Services","Department of Social Services",2023,11112520000,299.6855,11479080332.2817,TRUE
"128","Social Services","Department of Homeless Services","Department of Homeless Services",2023,3524561000,299.6855,3640823040.59089,TRUE
"129","Social Services","Department for the Aging","Department for the Aging",2023,492121000,299.6855,508354224.982523,TRUE
"130","Environmental Protection","Department of Environmental Protection","Department of Environmental Protection",2023,1467992000,299.6855,1516415547.07185,FALSE
"131","Environmental Protection","Department of Sanitation","Department of Sanitation",2023,1901899000,299.6855,1964635510.65701,FALSE
"132","Transportation Services","Department of Transportation","Department of Transportation",2023,1064905000,299.6855,1100032219.62691,FALSE
